,Title,Worldwide,Japan,North America,Australia,Europe,Release Year of System,Notes
1,Pocket Monsters Red and Green,,"February 27, 1996","September 28, 1998","October 23, 1998","October 5, 1999", 1996 – Game Boy 2016 – 3DS Virtual Console,"The first games in the Pokémon series. Introduced the first generation of Pokémon. Pocket Monsters Red and Green were only released in Japan. Red, Green and Blue combined have sold more copies than any other Game Boy game, barring Tetris. The international debut of the Pokémon franchise and video game series are titled Red and Blue. Featured the version-exclusive Pokémon included in the Japan-only Red and Green respectively, and the updates from the Japan-only Blue. Enhanced remakes of Red and Green, called Pokémon FireRed and LeafGreen, were released in 2004 for Game Boy Advance. Red and Green were re-released on the Nintendo 3DS Virtual Console in 2016."
2,Pocket Monsters Blue (Pokémon Red and Blue),,"October 15, 1996 (CoroCoro Comic)",,,, 1996 – Game Boy (CoroCoro Comic) 1999 - Game Boy (retail) 2016 – 3DS Virtual Console,"Pocket Monsters Blue was released 8 months after Red and Green and featured updated graphics and dialogue. Pocket Monsters Blue was released only in Japan. Was the basis for the international versions, Pokémon Red and Blue, released two years later. Red, Green and Blue combined have sold more copies than any other Game Boy game, barring Tetris. Used Game Boy cartridges but were packaged as Game Boy Color games. Blue was re-released on the Nintendo 3DS Virtual Console in 2016."
3,Pokémon Yellow: Special Pikachu Edition,,"September 12, 1998","October 18, 1999","September 3, 1999","June 16, 2000", 1998 – Game Boy 2016 – 3DS Virtual Console,"Known in Japan as Poketto Monsutā Ierō. Was the first game in the series where a Pokémon from your party could follow you in the overworld, in this case being Pikachu. Yellow was re-released on Nintendo 3DS Virtual Console in 2016."
4,Pokémon Gold and Silver,,"November 21, 1999","October 15, 2000","October 13, 2000","April 6, 2001", 1999 – Game Boy Color 2017 – 3DS Virtual Console,"Known in Japan as Poketto Monsutā Gōrudo and Poketto Monsutā Shirubā. Introduced the second generation of Pokémon. Sequels of the first generation and is set three years later. Enhanced remakes of Gold and Silver, called Pokémon HeartGold and SoulSilver, were released in 2009 for Nintendo DS. Gold and Silver were re-released on the Nintendo 3DS Virtual Console in 2017. The first Pokémon games released in South Korea, in 2002. The first Pokémon games to have shiny Pokémon. Introduced breeding"
5,Pokémon Crystal,,"December 14, 2000","July 29, 2001","September 30, 2001","November 2, 2001", 2000 – Game Boy Color 2018 – 3DS Virtual Console,Known in Japan as Poketto Monsutā Kurisutaru. Enhanced version of Pokémon Gold and Silver. The first main series Pokémon game to feature a female playable character. Crystal was re-released on the Nintendo 3DS Virtual Console in 2018.
6,Pokémon Ruby and Sapphire,,"November 21, 2002","March 19, 2003","April 3, 2003","July 25, 2003", 2002 – Game Boy Advance,"Known in Japan as Poketto Monsutā Rubī and Poketto Monsutā Safaia. Introduced the third generation of Pokémon. Enhanced remakes of Ruby and Sapphire, called Pokémon Omega Ruby and Alpha Sapphire, were released in 2014 for Nintendo 3DS. Ruby and Sapphire combined have sold more than any other Game Boy Advance game. First core series games of the franchise to be published by The Pokémon Company, alongside Nintendo, since the establishment of The Pokémon Company in 1998. Does not include every Pokémon from past games unlike most Main Series games. Introduced double battles Introduced abilities Introduced natures"
7,Pokémon FireRed and LeafGreen,,"January 29, 2004","September 9, 2004","September 23, 2004","October 1, 2004", 2004 – Game Boy Advance,Known in Japan as Poketto Monsutā Faiareddo and Poketto Monsutā Rīfugurīn. Enhanced remakes of Pokémon Red and Blue.
8,Pokémon Emerald,,"September 16, 2004","May 1, 2005","June 9, 2005","October 21, 2005", 2004 – Game Boy Advance,Known in Japan as Poketto Monsutā Emerarudo. Director's cut version of Pokémon Ruby and Sapphire.
9,Pokémon Diamond and Pearl,,"September 28, 2006","April 22, 2007","June 21, 2007","July 27, 2007", 2006 – Nintendo DS,Known in Japan as Poketto Monsutā Daiamondo and Poketto Monsutā Pāru. Introduced the fourth generation of Pokémon.
10,Pokémon Platinum,,"September 13, 2008","March 22, 2009","May 14, 2009","May 22, 2009", 2008 – Nintendo DS,Known in Japan as Poketto Monsutā Purachina. Director's cut version of Pokémon Diamond and Pearl.
11,Pokémon HeartGold and SoulSilver,,"September 12, 2009","March 14, 2010","March 25, 2010","March 26, 2010", 2009 – Nintendo DS,Known in Japan as Poketto Monsutā Hātogōrudo and Poketto Monsutā Sōrushirubā. Enhanced remakes of Pokémon Gold and Silver.
12,Pokémon Black and White,,"September 18, 2010","March 6, 2011","March 10, 2011","March 4, 2011", 2010 – Nintendo DS,Known in Japan as Poketto Monsutā Burakku and Poketto Monsutā Howaito. Introduced the fifth generation of Pokémon. The first generation to open up the national Pokédex after completing the story. Introduced triple battles Introduced rotation battles
13,Pokémon Black 2 and White 2,,"June 23, 2012","October 7, 2012","October 11, 2012","October 12, 2012", 2012 – Nintendo DS,Known in Japan as Poketto Monsutā Burakku Tsū and Poketto Monsutā Howaito Tsū. Sequels of Pokémon Black and White using the same world map with added locations and various changes two years later.
14,Pokémon X and Y,"October 12, 2013",,,,, 2013 – Nintendo 3DS,Known in Japan as Poketto Monsutā Ekkusu and Poketto Monsutā Wai. Introduced the sixth generation of Pokémon. The first Pokémon games to have a worldwide simultaneous release. First games in the main series to completely feature polygonal 3D graphics. The first Pokémon games to allow trainer customization. Introduced Mega evolution.
15,Pokémon Omega Ruby and Alpha Sapphire,,"November 21, 2014","November 21, 2014","November 21, 2014","November 28, 2014", 2014 – Nintendo 3DS,Known in Japan as Poketto Monsutā Omega Rubī and Poketto Monsutā Arufa Safaia. Enhanced remakes of Pokémon Ruby and Sapphire.
16,Pokémon Sun and Moon,,"November 18, 2016","November 18, 2016","November 18, 2016","November 23, 2016", 2016 – Nintendo 3DS,Known in Japan as Poketto Monsutā San and Poketto Monsutā Mūn. Introduced the seventh generation of Pokémon. The first Pokémon games to support the Chinese language. Introduced Z-moves. Introduced regional forms.
17,Pokémon Ultra Sun and Ultra Moon,"November 17, 2017",,,,, 2017 – Nintendo 3DS,Known in Japan as Poketto Monsutā Urutora San and Poketto Monsutā Urutora Mūn. Director's cut versions of Pokémon Sun and Moon. First Pokémon games to introduce new Pokémon mid-generation.
18,"Pokémon: Let's Go, Pikachu! and Let's Go, Eevee!","November 16, 2018",,,,, 2018 – Nintendo Switch,"Enhanced remakes of Pokémon Yellow and has integration with Pokémon Go. Set in the Kanto region with the original 151 Pokémon, their Mega Evolutions introduced in Pokémon X and Y and Pokémon Omega Ruby and Alpha Sapphire and their Alolan forms introduced in Pokémon Sun and Moon. Reintroduces the concept of Pokémon accompanying the player in the overworld, first seen in Pokémon Yellow, with Eevee or Pikachu sitting on the shoulder of the player character and an additional Pokémon can be chosen to follow. First in the core series to not feature wild Pokémon battles, instead using the capturing concept from Pokémon GO."
19,Pokémon Sword and Shield,"November 15, 2019",,,,, 2019 – Nintendo Switch,"Known in Japan as Poketto Monsutā Sōdo & Poketto Monsutā Shīrudo. Introduced the eighth generation of Pokémon. Introduced Dynamaxing and Gigantamaxing. Does not include all pre-existing Pokémon. On January 9, 2020, a pair of DLC expansion packs were announced. The first pack, The Isle of Armor was released on June 17th, 2020, while the second, The Crown Tundra was released on October 22, 2020. The physical bundle containing both packs with the base game was released on November 6, 2020."
20,Pokémon Brilliant Diamond and Shining Pearl,"November 19, 2021",,,,, 2021 – Nintendo Switch,Enhanced remakes of Pokémon Diamond and Pearl.
21,Pokémon Legends: Arceus,"January 28, 2022",,,,, 2022 – Nintendo Switch,"Prequel of Pokémon Diamond and Pearl', Pokémon Platinum and Pokémon Brilliant Diamond and Shining Pearl."
22,Pokémon Scarlet and Violet,"November 18, 2022",,,,, 2022 – Nintendo Switch,Introduced the ninth generation of Pokémon. Introduced Terastalizing.